,team_1,team_2,team_1_score,team_2_score
0,russia,saudi arabia,5,0
1,egypt,uruguay,0,1
2,morocco,iran,0,1
3,portugal,spain,3,3
4,france,australia,2,1
5,argentina,iceland,1,1
6,peru,denmark,0,1
7,croatia,nigeria,2,0
8,costa rica,serbia,0,1
9,germany,mexico,0,1
10,brazil,switzerland,1,1
11,sweden,south korea,1,0
12,belgium,panama,3,0
13,tunisia,england,1,2
14,columbia,japan,1,2
15,poland,senegal,1,2
16,russia,egypt,3,1
17,portugal,morocco,1,0
18,uruguay,saudi arabia,1,0
19,iran,spain,0,1
20,denmark,australia,1,1
21,france,peru,1,0
22,argentina,croatia,0,3
23,brazil,costa rica,2,0
24,nigeria,iceland,2,0
25,serbia,switzerland,1,2
26,belgium,tunisia,5,2
27,south korea,mexico,1,2
28,germany,sweden,2,1
29,england,panama,6,1
30,japan,senegal,2,2
31,poland,columbia,0,3
32,uruguay,russia,3,0
33,saudi arabia,egypt,2,1
34,iran,portugal,1,1
35,spain,morocco,2,2
36,denmark,france,0,0
37,australia,peru,0,2
38,nigeria,argentina,1,2
39,iceland,croatia,1,2
40,mexico,sweden,0,3
41,south korea,germany,2,0
42,serbia,brazil,0,2
43,switzerland,costa rica,2,2
44,japan,poland,0,1
45,senegal,columbia,0,1
46,panama,tunisia,1,2
47,england,belgium,0,1
