,team_1,team_2,team_1_score,team_2_score,stage
0,russia,saudi arabia,5,0,0
1,egypt,uruguay,0,1,0
2,morocco,iran,0,1,0
3,portugal,spain,3,3,0
4,france,australia,2,1,0
5,argentina,iceland,1,1,0
6,peru,denmark,0,1,0
7,croatia,nigeria,2,0,0
8,costa rica,serbia,0,1,0
9,germany,mexico,0,1,0
10,brazil,switzerland,1,1,0
11,sweden,south korea,1,0,0
12,belgium,panama,3,0,0
13,tunisia,england,1,2,0
14,columbia,japan,1,2,0
15,poland,senegal,1,2,0
16,russia,egypt,3,1,0
17,portugal,morocco,1,0,0
18,uruguay,saudi arabia,1,0,0
19,iran,spain,0,1,0
20,denmark,australia,1,1,0
21,france,peru,1,0,0
22,argentina,croatia,0,3,0
23,brazil,costa rica,2,0,0
24,nigeria,iceland,2,0,0
25,serbia,switzerland,1,2,0
26,belgium,tunisia,5,2,0
27,south korea,mexico,1,2,0
28,germany,sweden,2,1,0
29,england,panama,6,1,0
30,japan,senegal,2,2,0
31,poland,columbia,0,3,0
32,uruguay,russia,3,0,0
33,saudi arabia,egypt,2,1,0
34,iran,portugal,1,1,0
35,spain,morocco,2,2,0
36,denmark,france,0,0,0
37,australia,peru,0,2,0
38,nigeria,argentina,1,2,0
39,iceland,croatia,1,2,0
40,mexico,sweden,0,3,0
41,south korea,germany,2,0,0
42,serbia,brazil,0,2,0
43,switzerland,costa rica,2,2,0
44,japan,poland,0,1,0
45,senegal,columbia,0,1,0
46,panama,tunisia,1,2,0
47,england,belgium,0,1,0
0,saudi arabia,russia,0,5,0
1,uruguay,egypt,1,0,0
2,iran,morocco,1,0,0
3,spain,portugal,3,3,0
4,australia,france,1,2,0
5,iceland,argentina,1,1,0
6,denmark,peru,1,0,0
7,nigeria,croatia,0,2,0
8,serbia,costa rica,1,0,0
9,mexico,germany,1,0,0
10,switzerland,brazil,1,1,0
11,south korea,sweden,0,1,0
12,panama,belgium,0,3,0
13,england,tunisia,2,1,0
14,japan,columbia,2,1,0
15,senegal,poland,2,1,0
16,egypt,russia,1,3,0
17,morocco,portugal,0,1,0
18,saudi arabia,uruguay,0,1,0
19,spain,iran,1,0,0
20,australia,denmark,1,1,0
21,peru,france,0,1,0
22,croatia,argentina,3,0,0
23,costa rica,brazil,0,2,0
24,iceland,nigeria,0,2,0
25,switzerland,serbia,2,1,0
26,tunisia,belgium,2,5,0
27,mexico,south korea,2,1,0
28,sweden,germany,1,2,0
29,panama,england,1,6,0
30,senegal,japan,2,2,0
31,columbia,poland,3,0,0
32,russia,uruguay,0,3,0
33,egypt,saudi arabia,1,2,0
34,portugal,iran,1,1,0
35,morocco,spain,2,2,0
36,france,denmark,0,0,0
37,peru,australia,2,0,0
38,argentina,nigeria,2,1,0
39,croatia,iceland,2,1,0
40,sweden,mexico,3,0,0
41,germany,south korea,0,2,0
42,brazil,serbia,2,0,0
43,costa rica,switzerland,2,2,0
44,poland,japan,1,0,0
45,columbia,senegal,1,0,0
46,tunisia,panama,2,1,0
47,belgium,england,1,0,0
