Rank,Country/Territory,US$
1,Luxembourg,"104,103"
—,Macau,"80,893"
2,Switzerland,"80,190"
3,Norway,"75,505"
4,Iceland,"70,057"
5,Ireland,"69,331"
6,Qatar,"63,249"
7,United States,"59,532"
8,Singapore,"57,714"
9,Denmark,"56,308"
10,Australia,"53,800"
11,Sweden,"53,442"
12,San Marino,"48,888"
13,Netherlands,"48,223"
14,Austria,"47,291"
—,Hong Kong,"46,194"
15,Finland,"45,703"
16,Canada,"45,032"
17,Germany,"44,470"
18,Belgium,"43,324"
19,New Zealand,"42,941"
20,United Arab Emirates,"40,699"
21,Israel,"40,270"
22,United Kingdom,"39,720"
23,Andorra,"39,147"
24,France,"38,477"
25,Japan,"38,428"
—,European Union,"33,715"
26,Italy,"31,953"
27,"Bahamas, The","30,762"
28,"Korea, South","29,743"
29,Kuwait,"29,040"
30,Brunei,"28,291"
31,Spain,"28,157"
32,Malta,"26,904"
—,Aruba,"25,655"
33,Cyprus,"25,234"
34,Bahrain,"23,655"
35,Slovenia,"23,597"
36,Portugal,"21,136"
37,Saudi Arabia,"20,849"
38,Czech Republic,"20,368"
39,Estonia,"19,705"
40,Greece,"18,613"
41,Saint Kitts and Nevis,"17,924"
42,Slovakia,"17,605"
43,Lithuania,"16,681"
44,Barbados,"16,357"
45,Uruguay,"16,246"
46,Trinidad and Tobago,"16,126"
47,Oman,"15,668"
48,Seychelles,"15,629"
49,Latvia,"15,594"
50,Chile,"15,346"
51,Panama,"15,196"
52,Antigua and Barbuda,"14,803"
53,Argentina,"14,398"
54,Hungary,"14,225"
55,Poland,"13,863"
56,Croatia,"13,383"
57,Palau,"13,338"
58,Costa Rica,"11,677"
59,Maldives,"11,151"
60,Russia,"10,743"
61,Romania,"10,814"
—,World,"10,722"
62,Turkey,"10,546"
63,Mauritius,"10,491"
64,Grenada,"10,451"
65,Malaysia,"9,952"
66,Brazil,"9,821"
67,Saint Lucia,"9,715"
68,Equatorial Guinea,"9,698"
69,Kazakhstan,"9,030"
70,Mexico,"8,910"
71,Nauru,"8,844"
72,China,"8,827"
73,Lebanon,"8,808 ‏‏‎  ‏‏‎"
74,Cuba,"8,433"
75,Bulgaria,"8,228"
76,Montenegro,"7,783"
77,Botswana,"7,596"
78,Gabon,"7,414"
79,Saint Vincent and the Grenadines,"7,145"
80,Dominican Republic,"7,052"
81,Dominica,"6,719"
82,Thailand,"6,595"
83,Turkmenistan,"6,587"
84,Peru,"6,572"
85,Colombia,"6,409"
86,Ecuador,"6,274"
87,South Africa,"6,151"
88,Libya,"5,978"
89,Serbia,"5,900"
90,Paraguay,"5,824"
91,Belarus,"5,728"
92,Iran,"5,594"
93,Fiji,"5,589"
94,North Macedonia,"5,415"
95,Suriname,"5,317"
96,Namibia,"5,231"
97,Bosnia and Herzegovina,"5,148"
98,Jamaica,"5,114"
99,Iraq,"5,018"
100,Belize,"4,971"
101,Guyana,"4,655"
102,Albania,"4,538"
103,Guatemala,"4,471"
104,Samoa,"4,281"
105,Azerbaijan,"4,132"
106,Jordan,"4,130"
107,Angola,"4,100"
108,Sri Lanka,"4,074"
109,Georgia,"4,057"
110,Algeria,"4,055"
111,Tonga,"3,959"
—,Kosovo,"3,957"
112,Armenia,"3,937"
113,El Salvador,"3,889"
114,Indonesia,"3,847"
115,Marshall Islands,"3,843"
116,Mongolia,"3,718"
117,Tuvalu,"3,550"
118,Tunisia,"3,464"
119,Bolivia,"3,394"
120,Cape Verde,"3,244"
121,Eswatini,"3,243"
122,"Micronesia, Federated States of","3,188"
123,Bhutan,"3,130"
124,Vanuatu,"3,124"
—,Palestine,"3,095"
125,Morocco,"3,007"
126,Philippines,"2,989"
127,Sudan,"2,899"
128,Ukraine,"2,640"
129,Papua New Guinea,"2,489"
130,Honduras,"2,480"
131,Laos,"2,457"
132,Egypt,"2,413"
133,Vietnam,"2,343"
134,Moldova,"2,290"
135,East Timor,"2,279"
136,Nicaragua,"2,222"
137,Solomon Islands,"2,132"
138,Ghana,"2,046"
139,Nigeria,"1,969"
140,India,"1,942"
141,Djibouti,"1,928"
142,São Tomé and Príncipe,"1,921"
143,Somalia,"1,671"
144,"Congo, Republic of the","1,654"
145,Kenya,"1,595"
146,Kiribati,"1,594"
147,Pakistan,"1,548"
148,Côte d'Ivoire,"1,538"
149,Uzbekistan,"1,534"
150,Bangladesh,"1,517"
151,Zambia,"1,513"
152,Cameroon,"1,452"
153,Cambodia,"1,384"
154,Zimbabwe,"1,333"
155,Senegal,"1,329"
156,Comoros,"1,312"
157,Myanmar,"1,257"
158,Kyrgyzstan,"1,220"
159,Lesotho,"1,154"
160,Mauritania,"1,137"
161,Tanzania,936
162,Yemen,925
163,Nepal,849
164,Benin,827
165,Mali,827
166,Guinea,824
167,Tajikistan,801
168,Ethiopia,768
169,Haiti,766
170,Rwanda,748
171,Guinea-Bissau,724
172,"Gambia, The",709
173,Liberia,694
174,Chad,663
175,Burkina Faso,642
176,Togo,610
177,Uganda,607
178,Afghanistan,550
179,Sierra Leone,500
180,"Congo, Democratic Republic of the",463
181,Madagascar,450
182,Mozambique,426
183,Central African Republic,418
184,Niger,378
185,Malawi,339
186,Burundi,292
