,country,fifa_rank,gdp_rank,population_rank,avg_age,elo_ranking,star_count,coach_performance,home_country_adv,home_continent_adv,% of player in foreign club,Previous_final,Previous_semi_final,last_best_performance,att,mid,def,ovr
0,russia,70,60,9,28.1,1697,1,32,1,1,0.05,0,1,14,79,77,75,79
1,saudi arabia,67,37,47,28.7,1574,0,9,0,0,0.0,0,0,33,71,72,71,72
2,egypt,45,132,14,27.0,1659,1,15,0,0,0.58,0,0,51,75,77,74,76
3,uruguay,14,45,133,28.7,1866,3,7,0,0,0.88,2,5,10,86,77,80,80
4,portugal,4,36,84,27.7,1995,3,5,0,0,0.71,0,2,24,88,83,82,84
5,spain,10,31,28,28.0,2031,6,4,0,1,0.35,1,2,6,84,86,85,85
6,morocco,41,125,40,27.2,1691,0,8,0,0,0.85,0,0,39,74,77,77,76
7,iran,37,92,17,26.5,1799,0,14,0,0,0.42,0,0,36,74,73,73,74
8,france,7,24,21,26.4,1989,5,12,0,1,0.67,2,5,7,86,84,82,85
9,australia,36,10,56,26.9,1727,0,23,0,0,0.81,0,0,32,69,72,70,72
10,peru,11,84,43,27.0,1881,0,11,0,0,0.54,0,0,38,78,75,74,76
11,denmark,12,9,116,26.1,1842,1,19,0,1,0.89,0,0,40,76,79,76,78
12,argentina,5,53,31,28.4,1984,4,3,0,0,0.84,5,5,4,86,82,81,84
13,iceland,22,4,178,29.0,1811,0,10,0,1,1.0,0,0,77,75,78,74,75
14,croatia,20,56,128,27.5,1856,3,30,0,0,1.0,0,1,34,81,82,78,80
15,nigeria,48,139,7,24.9,1696,0,20,0,0,0.91,0,0,30,75,76,72,75
16,brazil,2,66,5,27.8,2114,4,2,0,0,0.8,7,11,1,87,85,84,86
17,switzerland,6,2,98,26.6,1866,0,13,0,1,0.9,0,0,13,76,77,78,78
18,costa rica,23,58,123,29.0,1746,1,28,0,0,0.67,0,0,37,69,73,73,73
19,serbia,34,89,102,27.7,1769,0,31,0,1,0.92,0,2,11,76,81,78,78
20,germany,1,17,19,25.7,2109,6,1,0,1,0.32,8,13,2,85,85,85,86
21,mexico,15,70,11,27.4,1848,0,16,0,0,0.34,0,0,5,81,79,77,79
22,sweden,24,11,91,27.4,1825,1,24,0,1,1.0,1,4,12,78,76,77,77
23,south korea,57,28,27,26.5,1760,1,25,0,0,0.59,0,1,15,71,74,70,73
24,belgium,3,18,77,27.0,1927,5,21,0,1,0.92,0,1,9,85,83,83,83
25,panama,55,51,131,29.4,1671,0,17,0,0,0.81,0,0,77,68,69,69,69
26,tunisia,21,118,79,26.8,1624,0,26,0,0,0.41,0,0,35,73,72,72,73
27,england,21,22,22,25.9,1933,2,22,0,1,0.0,1,2,8,83,81,80,81
28,poland,8,55,36,28.0,1842,2,18,0,1,0.77,0,2,22,83,78,78,80
29,senegal,27,155,71,26.4,1752,1,29,0,0,0.97,0,0,54,77,77,76,76
30,columbia,16,85,29,27.3,1927,3,6,0,0,0.89,0,0,31,82,78,78,79
31,japan,61,25,10,27.5,1706,0,27,0,0,0.47,0,0,29,76,78,73,75
